Attendance_Percentage,Study_Hours_Per_Day,Previous_Academic_Marks,Internal_Assessment_Marks,Assignment_Score,Practical_Lab_Score,Number_of_Backlogs,Previous_Semester_GPA,Sleep_Hours,Internet_Access,Parental_Education,Extracurricular_Activities,Class_Participation,Assignment_Submission_Rate,Performance_Category
47.51,1.33,54.05,27.52,34.66,46.14,7,4.06,9.5,1,0,1,35.11,58.79,Poor
50.55,5.44,56.87,62.45,74.91,40.87,0,6.11,5.9,1,2,1,59.99,70.94,Average
79.33,7.2,73.45,83.84,71.52,78.92,0,7.46,4.0,1,3,1,72.82,87.06,Good
52.13,7.13,38.93,51.85,56.33,62.65,0,5.34,6.8,1,3,1,59.61,92.21,Average
90.05,11.04,91.08,98.45,99.11,93.56,1,9.57,6.6,1,1,0,89.08,90.69,Excellent
63.89,4.21,48.84,66.69,50.91,47.8,1,5.67,8.6,1,2,1,60.66,70.24,Average
95.26,7.04,81.49,91.4,95.23,86.87,0,9.03,8.3,1,4,1,86.31,100.0,Excellent
65.95,0.6,48.87,52.31,37.4,45.88,2,5.67,7.5,1,3,0,45.19,65.93,Poor
65.16,5.17,62.39,45.16,51.01,58.82,2,6.37,8.2,1,2,1,58.77,75.4,Average
96.55,10.3,95.15,91.9,93.83,97.03,0,8.68,6.8,0,1,0,93.58,100.0,Excellent
76.24,3.62,47.45,63.11,73.95,63.31,4,5.12,5.7,1,4,0,41.35,75.47,Average
52.65,2.15,46.69,32.6,37.52,40.54,3,4.64,8.4,1,4,0,31.98,82.76,Poor
93.66,9.77,80.37,96.61,90.75,90.51,2,9.99,9.3,1,2,1,85.09,92.99,Excellent
96.11,10.21,90.7,82.28,99.71,87.21,1,9.42,5.8,0,3,1,94.85,100.0,Excellent
71.27,2.56,49.5,62.63,59.49,54.36,5,5.62,4.9,0,3,1,60.26,83.97,Average
88.41,6.75,94.58,95.15,89.07,86.56,0,8.65,6.6,1,4,1,93.63,98.52,Excellent
44.59,4.03,49.71,35.95,27.26,49.56,7,5.5,8.7,1,0,0,31.07,51.51,Poor
56.56,4.46,62.9,64.14,61.15,60.65,5,6.64,9.0,1,4,0,57.14,75.55,Average
71.4,8.92,85.2,87.82,76.19,73.18,1,8.26,4.0,1,1,0,71.41,85.01,Good
74.86,5.39,53.35,63.76,59.44,55.7,1,5.97,8.0,1,3,1,55.97,68.5,Average
57.75,4.35,70.33,53.78,58.68,64.36,3,7.36,7.4,1,1,1,52.75,65.41,Average
87.41,7.62,64.12,74.4,82.24,74.17,0,6.84,9.3,1,2,1,72.85,84.99,Good
92.17,8.14,78.87,75.6,78.52,74.66,1,7.09,10.0,1,3,1,67.47,78.14,Good
42.03,1.54,43.56,32.17,31.46,31.18,6,4.57,7.7,1,3,1,37.26,56.28,Poor
83.91,4.67,76.34,74.58,81.65,70.57,0,6.8,7.2,0,0,1,72.9,78.97,Good
83.06,6.37,54.51,82.06,82.46,85.97,0,8.08,9.8,1,0,1,73.93,95.91,Good
91.14,7.22,88.75,95.07,84.93,95.69,0,9.11,6.5,1,3,0,97.75,91.35,Excellent
92.63,9.55,91.0,97.57,100.0,94.61,0,9.52,9.2,1,2,0,99.96,94.44,Excellent
59.0,6.91,64.89,52.9,66.47,56.96,3,5.98,9.1,1,1,1,44.25,77.19,Average
79.86,7.65,84.67,87.62,74.21,82.11,2,6.94,6.8,1,3,1,76.05,93.13,Good
82.39,5.55,58.85,77.54,77.5,69.66,0,7.62,6.7,1,3,1,68.89,89.28,Good
88.82,11.32,92.74,95.97,91.82,97.86,0,8.56,7.1,1,3,1,91.94,96.69,Excellent
97.87,9.99,93.58,93.98,96.02,83.37,0,8.85,6.9,1,1,1,78.39,94.87,Excellent
62.93,4.0,45.04,52.48,58.53,57.08,3,6.57,6.4,0,1,1,48.7,76.15,Average
77.51,3.63,62.3,48.46,52.57,67.06,3,5.29,5.4,1,3,1,57.2,58.92,Average
93.29,10.45,99.38,90.48,100.0,100.0,0,8.49,8.1,1,2,1,89.14,97.36,Excellent
37.4,0.77,43.36,35.0,37.27,47.18,7,5.98,7.8,1,0,1,38.36,72.28,Poor
92.62,8.55,100.0,93.37,98.17,95.11,0,9.21,4.9,1,4,1,99.39,87.23,Excellent
54.17,2.6,50.17,51.84,48.77,40.57,6,4.26,6.7,0,3,0,41.37,57.49,Poor
40.74,1.88,50.02,33.3,43.29,31.21,7,4.01,10.0,1,2,0,49.14,55.07,Poor
49.68,2.34,33.71,39.36,45.05,29.79,7,4.67,7.5,1,4,0,31.89,55.77,Poor
58.17,6.1,60.28,49.08,57.98,56.95,0,6.18,4.3,1,4,1,67.88,64.98,Average
77.6,8.6,86.7,65.83,76.59,92.81,0,8.91,6.6,1,2,0,71.67,82.57,Good
59.52,6.17,53.06,59.12,64.3,59.04,2,7.22,8.8,1,3,1,59.26,67.56,Average
44.21,1.45,36.89,30.74,45.33,57.26,3,4.19,8.8,1,1,1,34.54,50.35,Poor
74.13,5.68,81.97,76.04,78.91,68.75,0,7.09,7.2,1,2,1,72.11,89.35,Good
57.05,7.02,55.52,47.48,61.75,54.2,1,8.46,9.2,1,3,0,52.99,57.1,Average
95.55,9.13,89.19,87.51,80.73,86.01,0,10.0,8.5,1,2,0,98.89,92.0,Excellent
64.2,2.99,62.45,63.21,56.2,47.28,5,6.38,4.7,1,1,0,47.28,69.11,Average
74.68,6.43,77.41,69.06,81.95,82.43,0,8.96,8.8,1,3,1,78.46,92.24,Good
78.89,3.07,67.63,57.31,58.96,45.71,0,5.3,4.8,1,4,0,51.92,61.68,Average
76.86,6.89,77.18,65.2,68.88,79.03,1,7.91,6.5,1,1,0,79.25,95.87,Good
63.04,3.64,63.9,63.43,60.52,64.62,0,7.37,6.8,1,3,1,58.56,72.75,Average
58.93,5.95,62.05,70.37,60.7,49.7,4,5.93,9.1,1,2,0,57.47,83.89,Average
56.48,2.43,57.77,30.7,39.75,48.31,2,4.28,5.5,1,2,1,37.65,51.03,Poor
46.56,4.48,55.98,56.58,62.5,63.16,0,5.61,8.2,1,2,1,68.97,80.72,Average
87.57,10.67,94.19,94.29,92.47,91.48,1,9.24,5.4,1,0,0,90.49,99.11,Excellent
53.92,3.86,55.88,68.85,59.72,50.74,0,5.96,8.5,1,2,1,50.9,68.45,Average
80.75,7.13,78.55,78.46,81.05,77.3,1,7.07,10.0,1,1,0,70.71,72.15,Good
77.41,7.84,69.59,65.52,71.55,79.17,1,7.7,6.3,0,2,0,80.9,81.15,Good
58.97,0.5,36.1,34.58,36.95,44.92,4,4.88,8.1,1,2,1,47.3,56.51,Poor
62.73,4.89,63.29,48.0,71.47,43.12,3,6.58,6.2,1,2,1,67.61,57.63,Average
55.85,2.12,29.94,41.09,41.5,48.21,6,4.92,7.6,1,2,1,34.64,54.04,Poor
98.02,11.24,99.39,92.72,88.87,91.64,0,10.0,8.1,1,4,1,97.45,95.52,Excellent
60.26,1.53,50.13,55.85,59.15,62.05,2,7.73,6.4,1,2,1,64.52,70.89,Average
33.81,2.37,37.98,35.82,42.8,47.4,5,4.24,7.9,1,2,0,42.72,61.11,Poor
95.64,9.14,96.42,89.66,100.0,91.87,1,8.94,7.1,1,4,0,82.23,97.44,Excellent
65.74,1.27,34.98,31.43,49.77,33.34,6,6.48,6.2,1,2,0,31.95,54.49,Poor
98.66,12.0,91.58,88.92,92.14,87.27,0,8.48,4.6,1,3,1,93.85,100.0,Excellent
87.17,7.91,91.69,92.82,92.23,100.0,0,9.53,8.9,0,3,1,90.88,87.21,Excellent
49.24,4.42,58.35,27.75,26.46,45.37,5,4.44,8.5,1,2,1,37.41,42.89,Poor
40.59,4.04,58.54,38.22,37.61,33.46,1,4.7,9.2,1,0,1,23.75,56.89,Poor
53.38,0.54,41.4,27.21,37.63,44.67,2,5.65,9.3,1,2,0,40.42,59.04,Poor
74.3,8.19,70.61,54.08,61.5,55.83,1,7.28,8.8,1,3,1,42.29,64.48,Average
88.87,12.0,93.92,92.46,92.01,85.58,0,9.63,6.7,0,2,1,96.32,94.13,Excellent
63.35,4.94,62.88,55.59,80.24,56.18,0,6.7,8.5,1,4,0,53.81,58.46,Average
96.94,10.01,95.21,88.46,100.0,97.46,0,9.82,4.9,1,0,1,86.78,94.42,Excellent
67.14,4.4,61.07,49.47,64.76,53.09,1,6.33,6.6,1,2,1,55.19,66.49,Average
82.98,6.1,68.42,67.52,76.06,90.93,1,8.14,7.9,1,2,0,67.36,82.95,Good
96.86,10.98,91.91,86.72,90.59,98.26,0,9.32,6.6,1,1,1,89.79,97.13,Excellent
62.49,3.67,47.64,51.14,61.59,60.6,0,6.43,8.0,1,2,1,69.52,70.13,Average
52.1,4.18,56.58,70.7,63.2,59.33,4,6.35,5.7,1,2,0,45.33,78.56,Average
98.11,10.5,93.4,87.72,91.05,98.73,1,9.19,7.8,1,2,0,86.58,99.74,Excellent
34.79,2.4,42.32,43.9,31.9,34.72,5,4.75,6.4,1,0,1,33.24,63.34,Poor
41.05,1.54,41.09,26.73,26.5,34.19,6,4.87,8.2,1,1,0,26.19,70.01,Poor
54.65,6.5,54.62,47.99,56.55,56.09,3,5.59,6.8,1,3,1,60.49,67.39,Average
42.57,0.9,54.95,40.97,43.18,42.52,1,3.79,8.2,1,1,1,46.99,54.27,Poor
92.4,12.0,94.09,92.4,100.0,85.7,0,9.47,6.9,1,0,0,97.47,95.09,Excellent
37.91,2.45,46.86,30.24,38.88,36.32,5,4.64,6.6,1,3,1,28.77,53.95,Poor
93.79,11.71,90.44,88.93,99.5,100.0,0,9.78,8.5,1,1,1,99.57,96.87,Excellent
45.65,2.81,48.29,46.19,40.97,33.78,4,3.37,6.2,1,1,1,43.38,57.87,Poor
64.81,4.9,54.88,62.69,53.34,52.6,5,5.64,4.0,1,1,1,53.94,86.47,Average
82.28,9.08,91.51,99.0,98.34,93.64,1,8.81,8.0,0,1,0,87.7,97.02,Excellent
89.64,8.64,72.07,69.56,74.15,67.58,2,7.41,5.9,1,1,1,74.93,86.44,Good
60.61,6.41,54.37,69.9,68.9,64.01,3,6.77,8.1,1,1,1,47.11,70.98,Average
39.65,1.23,53.97,40.53,45.3,27.01,7,4.27,5.8,1,3,1,35.88,67.08,Poor
98.12,8.63,89.48,99.79,94.54,85.15,1,9.51,4.7,1,2,1,87.81,100.0,Excellent
69.62,6.72,60.96,55.96,46.36,57.33,2,6.14,9.1,1,1,0,56.35,70.86,Average
52.45,3.99,43.49,37.27,37.93,40.0,9,4.21,7.7,1,2,0,26.23,48.66,Poor
53.47,2.16,48.9,48.54,36.91,60.17,3,4.18,6.9,0,1,0,39.36,55.18,Poor
98.94,10.69,97.09,90.95,90.72,87.11,0,8.63,7.9,1,2,1,100.0,100.0,Excellent
39.75,0.62,48.66,51.05,36.49,29.89,8,4.97,7.5,1,1,0,21.99,57.25,Poor
96.81,9.84,92.12,99.07,90.52,100.0,0,9.32,8.0,1,2,1,90.83,93.87,Excellent
84.89,5.09,74.54,75.61,82.31,57.44,0,6.95,7.2,1,3,0,76.15,90.53,Good
89.72,9.59,87.24,90.12,88.03,83.33,0,9.56,6.4,1,3,1,93.67,90.97,Excellent
38.15,1.85,28.64,35.85,40.27,32.16,5,5.15,6.7,1,4,1,44.7,45.55,Poor
51.76,0.5,37.21,48.22,42.61,29.11,6,5.96,7.3,1,3,1,43.95,46.14,Poor
39.37,1.97,40.55,33.95,41.93,38.19,6,5.61,7.8,0,3,1,34.86,54.82,Poor
90.18,10.32,80.33,80.69,79.92,83.28,2,7.75,4.7,0,2,1,83.38,96.61,Good
60.62,2.4,58.13,63.38,53.27,41.97,3,6.36,5.1,1,2,0,65.66,82.47,Average
76.27,6.27,83.19,68.12,72.74,68.77,1,8.56,8.3,1,3,1,73.71,75.46,Good
92.48,11.13,90.39,85.01,97.82,99.58,0,9.65,8.5,1,3,0,92.53,93.77,Excellent
89.95,10.88,87.96,92.63,92.86,95.58,2,9.03,8.3,0,1,0,92.34,96.16,Excellent
64.78,5.05,56.29,65.45,62.11,47.73,2,6.34,8.8,1,4,1,58.13,73.6,Average
67.82,7.4,54.63,53.84,53.19,49.44,2,6.33,9.4,1,3,1,52.83,53.65,Average
50.96,2.13,40.45,48.43,31.42,42.85,7,3.48,6.0,1,1,1,39.9,64.45,Poor
88.56,5.0,84.43,90.92,80.76,80.69,0,7.58,7.1,1,3,1,76.97,90.39,Good
74.58,6.7,89.77,75.45,80.4,76.03,1,7.38,4.0,1,2,0,67.11,82.84,Good
85.18,8.93,67.32,87.48,75.43,72.29,1,9.14,7.4,1,4,0,64.22,71.6,Good
92.19,10.18,92.94,88.85,95.23,86.29,0,9.55,5.2,1,3,1,87.13,97.69,Excellent
57.31,4.16,61.64,53.48,61.15,62.6,3,6.11,8.4,1,0,0,53.83,91.29,Average
79.09,6.66,78.33,67.24,81.23,89.88,0,8.51,5.7,1,2,0,72.49,91.02,Good
89.5,9.9,92.59,85.65,91.8,95.4,3,8.94,10.0,1,4,1,91.5,100.0,Excellent
54.93,3.71,59.03,56.44,70.18,59.74,4,6.59,6.3,1,0,1,61.92,69.05,Average
72.35,2.62,55.62,66.22,62.52,57.62,3,7.54,6.2,0,2,1,49.73,69.95,Average
55.94,2.94,33.09,49.01,42.36,29.35,5,4.39,6.9,1,3,0,32.94,55.14,Poor
88.57,8.92,80.17,77.15,75.52,69.83,0,8.85,4.1,1,2,1,80.24,88.93,Good
87.31,10.92,95.35,92.86,92.79,97.31,0,9.35,5.5,0,2,0,84.65,96.51,Excellent
57.85,4.11,47.1,58.7,69.98,59.08,5,5.94,5.3,1,1,0,39.94,76.44,Average
71.54,4.42,73.65,63.36,66.63,43.06,2,4.74,6.9,1,2,1,54.5,74.33,Average
78.3,9.09,80.92,79.53,72.73,65.4,0,8.52,9.8,1,1,1,66.8,73.27,Good
55.01,2.0,47.35,35.85,31.69,32.05,5,5.03,6.9,1,0,1,38.14,66.9,Poor
65.9,0.56,52.81,44.25,36.16,52.03,5,4.6,6.6,0,1,1,31.17,60.61,Poor
90.92,9.96,86.45,99.64,85.39,91.41,0,9.66,6.4,0,1,0,94.11,97.59,Excellent
74.35,7.38,80.43,73.23,84.35,79.25,1,7.23,6.5,1,1,1,80.99,80.94,Good
67.2,4.34,68.08,52.62,58.37,66.98,4,6.04,7.4,1,3,1,62.09,82.18,Average
57.09,1.71,52.9,33.29,47.45,53.48,5,4.12,7.0,0,3,1,25.47,53.82,Poor
50.78,2.77,43.5,37.55,40.12,40.96,5,6.16,6.7,0,2,1,31.38,62.73,Poor
97.36,8.23,99.52,93.73,98.75,83.92,0,8.44,7.3,1,2,0,100.0,95.49,Excellent
56.32,2.18,38.26,45.44,33.34,39.76,5,5.72,8.3,1,3,0,30.96,53.41,Poor
78.34,7.99,82.18,88.77,86.83,77.65,0,8.11,7.9,1,2,0,60.41,82.09,Good
61.08,4.79,53.1,58.2,69.42,44.62,2,6.05,8.1,1,3,0,42.85,72.87,Average
83.54,7.47,70.14,79.66,76.86,73.84,1,7.21,6.8,1,2,1,69.67,91.45,Good
86.15,10.51,89.91,89.81,89.08,76.34,0,9.07,8.1,1,2,1,87.37,91.7,Excellent
74.22,6.91,88.25,75.99,77.73,69.91,0,7.74,6.3,1,2,1,71.33,91.72,Good
75.93,7.49,75.48,75.65,81.86,70.18,2,9.26,10.0,1,2,1,68.26,86.93,Good
88.66,9.87,82.65,85.94,92.96,78.02,0,9.19,7.4,1,1,0,84.54,85.5,Good
57.57,5.71,71.64,65.33,68.46,57.35,1,6.04,7.7,1,3,1,51.02,72.94,Average
82.72,7.26,77.88,77.91,89.33,76.94,0,7.95,6.0,1,0,1,75.31,92.51,Good
83.0,5.88,69.68,71.31,86.0,82.64,1,7.85,9.0,1,3,0,68.26,83.27,Good
59.08,3.61,70.49,60.28,55.51,55.99,2,5.84,5.3,1,4,1,59.09,67.49,Average
56.87,5.39,55.95,56.34,70.16,68.36,0,7.18,5.7,1,1,1,62.21,64.96,Average
86.96,6.7,75.45,67.14,78.91,74.2,0,7.14,7.8,1,2,1,74.85,96.2,Good
97.44,10.91,99.6,82.75,97.34,97.42,1,8.58,5.9,1,0,1,88.07,92.6,Excellent
88.64,11.25,96.03,85.72,96.41,94.18,2,9.24,7.4,1,1,0,95.12,94.66,Excellent
65.25,4.1,61.65,48.33,53.15,51.02,2,5.82,7.5,1,1,1,49.42,71.9,Average
44.46,3.4,62.3,51.62,63.17,58.85,3,4.81,5.2,0,3,1,55.79,70.44,Average
38.17,2.1,44.48,30.44,45.49,35.81,4,3.91,7.9,1,3,0,26.22,60.24,Poor
90.22,12.0,89.04,97.63,98.22,94.08,0,9.26,5.2,1,2,1,88.73,100.0,Excellent
74.76,7.94,78.53,75.31,83.45,69.32,2,7.81,9.4,0,4,0,80.22,91.62,Good
69.52,3.62,67.71,61.06,41.26,60.4,1,5.93,7.3,1,3,1,59.3,80.05,Average
95.44,10.24,86.16,91.47,94.91,86.88,0,9.41,6.6,0,4,1,98.4,99.16,Excellent
83.89,6.03,73.68,87.03,75.58,74.64,0,7.89,5.8,1,3,1,74.09,85.06,Good
43.84,2.23,56.07,29.92,29.55,32.12,8,4.92,7.4,1,1,1,23.67,60.42,Poor
61.64,4.23,55.13,63.49,54.93,55.12,0,6.38,5.3,1,2,1,49.06,68.45,Average
62.31,7.42,75.27,77.22,80.77,71.71,1,7.61,10.0,1,3,1,80.21,86.13,Good
85.79,6.38,70.62,71.77,75.0,82.21,0,8.04,5.1,0,0,0,65.29,95.16,Good
57.67,1.67,40.12,42.63,51.8,42.27,4,5.05,6.7,1,4,0,26.74,52.77,Poor
88.11,12.0,96.94,100.0,96.7,90.35,0,9.07,7.8,1,3,1,98.55,96.07,Excellent
63.01,4.75,54.22,62.93,49.54,59.49,2,7.23,5.8,1,1,1,68.91,69.66,Average
78.65,5.49,70.54,83.26,79.23,73.82,1,8.06,8.5,1,4,1,74.47,93.65,Good
95.57,10.94,87.98,97.57,99.01,89.02,0,8.46,8.7,1,2,0,94.47,97.45,Excellent
88.34,7.98,92.8,91.64,100.0,86.08,0,9.84,7.5,1,1,0,96.99,93.22,Excellent
35.32,0.5,57.32,36.63,31.16,29.85,4,3.2,7.3,1,1,0,53.88,75.65,Poor
66.79,2.98,57.06,66.0,64.14,52.67,4,5.96,6.3,1,3,0,56.43,45.5,Average
88.49,6.52,73.93,81.86,73.73,77.58,0,7.55,8.3,1,2,1,70.69,83.58,Good
54.17,7.29,58.86,52.23,66.26,65.39,5,5.75,8.4,0,0,0,71.9,70.22,Average
46.89,0.5,49.38,16.86,61.72,51.02,1,4.99,6.8,1,4,1,30.29,59.04,Poor
48.11,0.5,46.2,35.07,52.27,35.84,1,4.39,8.7,1,3,1,47.26,56.98,Poor
65.22,4.36,68.9,55.94,70.27,57.17,3,6.01,7.0,1,2,0,59.96,50.66,Average
59.02,3.7,70.5,57.58,67.48,59.31,3,5.89,7.7,1,3,0,56.6,75.52,Average
53.17,2.78,57.61,39.09,43.41,31.16,3,4.5,5.9,1,2,1,32.23,52.34,Poor
90.31,7.0,71.92,79.19,79.37,75.12,3,6.74,5.4,1,2,1,68.6,80.48,Good
57.72,1.24,51.06,53.61,58.02,48.96,1,6.15,5.0,0,2,1,46.42,65.71,Average
85.55,6.96,80.83,84.37,80.92,76.35,4,7.85,8.4,1,0,1,86.23,89.22,Good
50.15,5.57,61.14,55.73,63.13,61.35,2,6.43,7.8,1,0,1,49.21,99.52,Average
90.55,9.83,93.25,99.83,100.0,94.76,0,9.94,7.8,1,2,1,93.76,90.63,Excellent
82.4,7.63,90.46,79.61,77.31,70.82,2,7.15,8.0,1,2,1,75.68,84.41,Good
71.05,5.77,68.73,74.84,75.72,83.67,0,7.74,7.1,1,1,1,81.83,90.09,Good
93.6,10.45,86.58,90.01,95.64,89.88,0,9.55,7.6,1,4,0,91.1,90.48,Excellent
92.47,11.52,96.8,92.75,92.61,92.68,0,9.17,5.4,1,3,0,88.92,93.44,Excellent
94.92,9.45,99.38,89.67,84.04,88.96,0,9.45,6.0,0,2,1,93.74,96.14,Excellent
96.96,9.72,95.5,93.4,92.01,93.79,0,8.67,6.1,1,2,1,90.65,82.72,Excellent
47.34,0.53,33.67,25.57,48.62,35.32,5,5.02,6.4,1,2,1,26.5,61.72,Poor
58.85,3.22,44.5,49.74,79.53,62.88,2,6.53,8.0,1,2,1,51.0,68.87,Average
44.89,2.11,40.56,39.98,50.3,38.0,6,4.79,8.4,1,4,1,40.57,54.17,Poor
92.13,9.28,89.54,92.38,82.09,86.99,1,8.84,8.9,1,3,1,93.4,96.91,Excellent
60.67,4.18,66.22,51.85,63.23,62.08,3,6.63,9.8,1,1,0,62.28,75.23,Average
79.72,9.8,74.33,82.0,84.91,74.51,0,6.29,5.1,0,3,1,76.4,92.25,Good
96.98,8.57,86.41,94.48,90.85,84.65,0,9.5,8.2,1,3,0,100.0,99.01,Excellent
81.93,8.87,77.8,85.57,80.56,66.11,0,7.59,8.4,1,1,1,88.34,89.43,Good
50.94,2.51,45.88,22.89,40.95,30.07,6,4.32,9.1,1,2,0,38.8,53.41,Poor
42.77,2.33,38.2,42.75,49.73,33.25,6,4.15,6.3,1,4,0,31.8,47.51,Poor
66.16,3.3,42.6,45.94,26.91,59.19,2,4.81,4.1,0,4,1,29.85,60.16,Poor
59.15,2.88,52.57,59.81,49.75,52.01,7,6.63,7.0,0,3,1,47.66,69.56,Average
53.93,1.71,52.72,42.13,32.3,37.55,5,4.85,9.2,1,2,1,23.71,38.47,Poor
71.32,4.77,58.6,55.99,58.32,62.87,2,6.18,7.1,1,1,0,63.77,82.57,Average
88.03,7.4,77.96,83.4,89.44,74.4,1,6.26,8.6,1,3,0,70.17,96.26,Good
92.13,8.13,83.7,94.92,96.54,97.35,1,9.41,4.8,1,2,0,73.71,98.01,Excellent
94.08,9.45,86.98,87.71,89.05,91.07,0,9.74,9.1,1,3,1,99.75,95.13,Excellent
76.0,10.14,86.89,73.22,75.48,69.4,0,6.88,7.5,1,2,1,70.43,95.4,Good
85.69,12.0,95.07,96.25,90.21,95.61,0,9.26,9.6,1,1,1,98.19,99.28,Excellent
66.47,3.4,52.23,71.95,58.29,49.97,1,7.4,9.0,0,4,1,49.43,76.73,Average
66.33,2.49,39.46,49.86,58.77,65.68,0,5.98,7.2,0,2,0,70.62,62.7,Average
97.31,8.64,91.46,99.27,91.4,92.54,0,9.4,9.2,1,1,1,84.22,98.59,Excellent
58.3,1.22,56.23,39.75,48.04,63.54,4,4.76,8.1,0,4,1,26.34,42.1,Poor
44.21,3.05,41.78,51.87,37.47,36.99,3,3.36,4.4,0,3,0,17.96,62.5,Poor
100.0,11.02,84.74,100.0,100.0,92.59,1,9.91,5.9,1,2,1,89.74,88.54,Excellent
86.66,9.95,100.0,100.0,97.25,87.59,0,8.85,9.4,1,3,1,86.24,94.86,Excellent
35.65,2.45,53.93,34.51,31.55,42.96,3,5.07,5.8,1,2,0,47.74,51.78,Poor
93.89,10.52,100.0,93.02,96.99,87.62,0,9.1,8.0,1,2,0,93.5,94.56,Excellent
51.25,2.15,52.36,42.5,35.49,20.4,3,5.09,9.5,0,2,0,26.88,62.49,Poor
87.67,7.48,76.02,76.82,78.5,83.41,1,6.95,6.9,1,0,0,80.19,83.75,Good
49.89,1.38,43.17,36.33,37.35,39.64,4,6.04,6.1,0,1,0,26.85,39.0,Poor
77.68,7.92,64.53,83.76,83.43,67.8,0,8.84,6.9,1,3,0,63.31,72.49,Good
41.98,1.95,44.53,28.48,38.92,33.26,5,5.21,7.5,0,2,1,31.02,63.22,Poor
63.63,3.69,49.19,61.48,66.68,47.21,3,5.5,8.3,1,3,1,47.6,77.06,Average
86.89,8.69,82.01,79.72,93.12,76.81,0,6.71,4.1,1,2,1,79.3,81.27,Good
40.85,1.51,53.58,42.17,33.33,47.53,5,4.81,4.0,1,2,1,47.35,60.58,Poor
45.97,1.62,36.07,32.43,49.27,35.47,6,3.0,8.1,0,0,1,32.59,62.64,Poor
99.71,10.17,92.71,89.02,99.63,93.12,0,8.99,5.6,1,3,0,85.24,94.38,Excellent
69.28,4.81,51.39,57.3,42.48,52.05,2,6.26,6.9,1,1,1,56.44,77.38,Average
69.95,3.53,47.72,58.63,65.6,68.23,2,6.69,7.7,1,2,1,64.26,80.23,Average
73.7,6.64,67.05,80.64,67.73,85.36,1,5.96,9.0,1,4,1,72.3,76.95,Good
46.72,2.81,55.87,41.01,45.24,41.63,9,3.65,7.4,1,2,1,47.76,57.4,Poor
48.9,1.28,35.69,43.01,46.08,32.7,5,6.38,7.0,1,2,1,41.03,51.91,Poor
57.57,2.09,36.04,38.54,33.56,51.47,1,5.38,4.0,1,2,0,39.16,67.39,Poor
81.26,4.24,57.37,63.76,64.18,69.34,2,6.13,5.2,1,2,0,63.9,76.21,Average
98.86,10.67,96.5,95.17,95.08,91.67,0,9.33,5.8,1,3,0,94.91,92.96,Excellent
59.13,5.78,43.67,49.76,61.1,69.25,2,5.94,7.1,1,1,0,58.47,72.16,Average
56.21,1.17,50.5,40.19,48.81,30.16,5,3.92,7.2,1,2,0,40.45,60.2,Poor
77.09,8.56,78.15,76.9,89.91,81.14,0,7.79,10.0,1,2,0,66.4,79.02,Good
84.06,8.69,84.9,94.42,94.0,94.01,0,9.8,7.3,1,2,0,92.15,90.97,Excellent
83.17,9.11,78.33,82.1,83.95,80.05,0,8.13,5.8,0,3,1,84.3,86.11,Good
53.02,5.22,70.85,64.07,66.66,62.7,1,7.29,7.0,1,2,0,46.3,61.41,Average
77.36,9.4,69.34,86.45,80.26,79.88,2,6.8,5.9,1,3,1,74.35,92.77,Good
75.51,4.16,77.34,84.82,81.01,74.0,1,7.14,7.4,0,1,1,75.22,90.69,Good
98.63,8.05,100.0,96.78,85.58,88.95,0,9.68,9.1,1,0,1,96.76,100.0,Excellent
66.37,7.37,84.28,72.64,68.45,77.52,1,7.13,7.3,1,2,1,69.59,71.85,Good
55.55,2.19,38.71,35.53,30.67,58.23,7,4.01,6.6,0,3,1,29.64,50.29,Poor
55.32,3.27,39.74,33.91,33.77,44.15,7,5.19,7.7,1,2,1,50.18,70.58,Poor
67.14,1.68,43.76,44.28,63.11,61.49,2,7.01,4.0,1,3,1,57.2,62.93,Average
80.4,6.88,74.73,87.83,85.38,75.36,0,8.09,6.5,0,1,1,78.3,83.32,Good
98.0,8.64,89.44,85.25,86.6,87.9,0,8.07,7.9,1,0,1,91.51,99.7,Excellent
48.68,1.44,34.49,43.9,35.34,46.49,4,5.34,6.7,1,3,1,40.36,59.86,Poor
78.37,6.82,84.75,76.98,85.06,86.82,1,7.59,4.6,0,2,1,68.26,72.57,Good
89.35,6.34,71.63,75.38,91.49,75.34,0,8.24,4.0,1,1,1,69.68,86.83,Good
89.82,7.2,100.0,88.9,95.21,95.52,0,9.56,6.2,1,2,0,98.61,95.8,Excellent
71.45,8.8,74.26,72.25,73.99,77.1,0,8.08,10.0,1,2,0,67.12,92.59,Good
95.55,9.68,93.65,95.86,95.47,89.27,0,10.0,6.4,1,2,1,86.51,89.68,Excellent
93.02,12.0,95.25,89.85,91.88,89.99,0,9.24,4.5,1,2,0,87.21,98.05,Excellent
49.57,1.71,40.18,42.37,52.21,45.14,5,5.03,6.4,1,2,0,46.01,55.73,Poor
81.15,7.05,73.46,63.69,80.79,74.29,2,8.24,4.8,0,2,1,75.86,78.37,Good
59.17,5.13,48.76,56.23,52.37,61.62,2,6.14,6.3,0,4,1,64.36,72.46,Average
50.86,0.5,32.22,29.66,40.74,36.72,4,4.75,6.2,1,1,1,30.8,49.9,Poor
81.2,4.23,84.71,76.51,67.84,80.9,0,8.24,5.9,1,1,0,77.27,78.16,Good
44.65,1.57,48.59,44.38,27.73,34.25,7,4.43,6.8,1,3,0,41.85,54.34,Poor
