Attendance_Percentage,Study_Hours_Per_Day,Previous_Academic_Marks,Internal_Assessment_Marks,Assignment_Score,Practical_Lab_Score,Number_of_Backlogs,Previous_Semester_GPA,Sleep_Hours,Internet_Access,Parental_Education,Extracurricular_Activities,Class_Participation,Assignment_Submission_Rate,Performance_Category,Academic_Consistency,Overall_Academic_Score,Engagement_Score,Study_Efficiency,Parental_Education_Label,Performance_Label
60.31,5.23,63.05,73.93,61.3,49.5,2.0,6.79,7.6,1,1,1,56.33,81.95,Average,10.0,63.2,69.14,1.74,High_School,1
46.24,1.46,65.63,41.23,33.28,49.58,5.0,4.52,7.0,1,3,0,31.77,67.42,Poor,13.84,47.81,49.6,0.24,Post_Graduate,0
50.17,2.26,60.09,58.2,54.27,64.48,5.0,5.6,4.9,1,3,1,71.84,72.78,Average,4.24,58.92,72.31,0.38,Post_Graduate,1
41.34,2.33,42.52,53.47,39.13,35.97,3.0,4.98,7.3,1,3,0,25.39,61.13,Poor,7.62,44.0,43.26,0.58,Post_Graduate,0
93.94,8.09,87.63,72.52,73.42,76.79,0.0,8.1,5.2,1,2,1,80.28,92.57,Good,6.94,78.18,86.42,8.09,Graduate,2
56.72,0.78,46.24,29.64,31.09,33.95,4.0,3.22,6.7,1,1,1,30.61,66.3,Poor,7.56,35.2,48.46,0.16,High_School,0
80.93,4.79,57.82,65.71,62.0,61.19,2.0,6.16,7.2,1,2,0,52.67,68.08,Average,3.24,61.68,60.38,1.6,Graduate,1
34.43,1.58,46.52,31.87,28.59,39.55,3.0,5.41,8.8,1,2,0,41.54,65.13,Poor,8.03,38.64,53.33,0.4,Graduate,0
57.87,2.57,24.57,39.05,46.9,28.25,7.5,6.61,6.9,1,3,0,39.83,50.24,Poor,10.2,37.54,45.04,0.3,Post_Graduate,0
98.34,9.25,95.38,84.96,94.92,94.76,0.0,8.71,8.9,1,0,0,99.01,98.96,Excellent,5.04,91.73,98.98,9.25,None,3
100.0,10.48,98.61,93.17,93.52,90.83,0.0,8.87,8.2,1,2,1,92.03,95.46,Excellent,3.28,93.68,93.74,10.48,Graduate,3
93.19,8.69,92.86,96.19,88.28,92.94,0.0,9.6,5.3,1,2,0,93.64,98.5,Excellent,3.25,93.11,96.07,8.69,Graduate,3
40.34,3.06,61.2,32.11,44.27,33.19,4.0,3.52,8.3,1,3,0,31.37,50.73,Poor,13.51,42.34,41.05,0.61,Post_Graduate,0
90.19,10.32,100.0,88.61,99.86,99.99,0.0,8.84,9.7,1,1,0,91.24,96.13,Excellent,5.67,95.96,93.68,10.32,High_School,3
87.63,6.64,76.81,83.19,75.61,76.18,1.0,7.74,6.7,1,2,1,79.78,90.14,Good,3.53,78.1,84.96,3.32,Graduate,2
77.46,5.35,85.53,82.56,75.58,72.19,0.0,8.26,5.6,1,2,0,78.14,84.89,Good,6.15,79.84,81.52,5.35,Graduate,2
47.98,5.84,48.48,43.82,57.09,71.69,4.0,5.94,6.6,1,2,1,44.44,75.2,Average,12.25,54.77,59.82,1.17,Graduate,1
89.35,12.0,93.47,97.77,90.36,91.99,0.0,9.46,8.9,1,0,0,98.34,95.91,Excellent,3.18,93.74,97.12,12.0,None,3
98.91,11.0,92.3,83.04,85.02,84.58,0.0,9.1,5.4,1,0,1,90.71,93.79,Excellent,4.13,86.85,92.25,11.0,None,3
64.21,5.96,75.44,62.66,72.64,48.3,0.0,6.2,7.2,1,3,0,49.72,80.37,Average,12.27,64.91,65.04,5.96,Post_Graduate,1
50.66,3.11,50.31,55.52,71.37,58.13,3.0,4.89,8.4,1,1,1,54.46,74.04,Average,8.97,57.25,64.25,0.78,High_School,1
65.83,3.95,57.53,38.1,58.23,65.75,1.0,5.65,5.6,1,3,0,57.88,70.77,Average,11.8,54.35,64.32,1.98,Post_Graduate,1
97.29,9.33,94.36,94.98,95.97,90.48,0.0,8.4,6.5,1,2,0,97.53,93.72,Excellent,2.4,93.02,95.62,9.33,Graduate,3
45.67,3.9,65.07,60.13,56.9,49.22,1.0,6.46,6.0,1,3,1,56.13,73.71,Average,6.65,58.98,64.92,1.95,Post_Graduate,1
98.84,10.74,90.69,96.21,93.54,87.09,0.0,9.21,7.6,1,2,0,90.22,91.84,Excellent,3.91,92.06,91.03,10.74,Graduate,3
64.41,4.78,66.36,66.15,55.25,53.07,2.0,6.79,6.7,1,3,0,60.32,83.94,Average,7.04,61.58,72.13,1.59,Post_Graduate,1
73.5,5.8,74.07,72.4,77.45,66.41,1.0,8.42,8.5,1,1,1,82.89,72.37,Good,4.62,73.81,77.63,2.9,High_School,2
100.0,8.82,95.95,87.06,93.24,100.0,0.0,9.73,7.0,1,2,0,91.97,100.0,Excellent,5.43,94.13,95.98,8.82,Graduate,3
73.07,3.98,60.11,45.62,55.7,66.98,2.0,6.16,6.3,1,4,1,55.67,78.03,Average,8.95,57.13,66.85,1.33,Doctorate,1
76.98,10.21,78.6,72.47,85.81,80.87,0.0,6.93,5.4,1,1,1,69.95,100.0,Good,5.53,78.03,84.98,10.21,High_School,2
79.91,6.99,72.3,62.75,66.87,89.81,0.0,8.38,8.0,1,2,0,82.87,82.41,Good,11.91,73.48,82.64,6.99,Graduate,2
84.1,9.78,90.66,90.2,95.57,89.11,0.0,9.16,7.1,1,4,0,97.99,97.43,Excellent,2.86,91.31,97.71,9.78,Doctorate,3
45.45,0.66,52.56,41.7,29.86,42.51,7.5,4.03,5.1,1,2,0,41.47,58.43,Poor,9.29,42.07,49.95,0.08,Graduate,0
70.96,8.88,81.66,71.56,81.52,77.08,0.0,7.44,6.9,1,1,0,76.27,89.08,Good,4.76,77.46,82.68,8.88,High_School,2
55.23,3.36,46.45,37.9,38.14,43.39,6.0,4.1,6.3,1,1,1,47.01,68.32,Poor,4.18,41.49,57.66,0.48,High_School,0
63.72,6.96,73.07,75.45,74.6,89.31,0.0,8.1,6.8,1,1,0,78.69,72.7,Good,7.53,78.01,75.69,6.96,High_School,2
76.92,6.61,76.74,81.65,85.32,74.21,0.0,6.98,5.5,1,1,1,70.67,75.45,Good,4.97,78.48,73.06,6.61,High_School,2
68.76,4.29,71.1,48.95,55.49,55.04,0.0,5.57,6.0,1,2,0,51.14,76.75,Average,9.45,57.69,63.94,4.29,Graduate,1
100.0,10.45,86.82,87.33,97.07,94.43,0.0,9.6,6.5,1,2,0,82.36,92.46,Excellent,5.13,91.44,87.41,10.45,Graduate,3
58.76,1.77,35.68,40.53,54.57,42.45,5.0,3.35,8.0,1,4,1,27.63,48.66,Poor,8.03,41.81,38.14,0.29,Doctorate,0
72.02,4.11,69.15,61.93,50.21,69.4,3.0,6.37,7.2,1,2,0,49.37,86.04,Average,9.0,63.06,67.7,1.03,Graduate,1
98.48,7.39,91.51,98.34,96.51,92.56,0.0,9.54,8.9,1,3,1,94.8,100.0,Excellent,3.23,94.82,97.4,7.39,Post_Graduate,3
70.53,2.98,54.77,54.06,52.77,43.61,2.0,6.32,5.8,1,3,1,52.05,59.86,Average,5.19,52.8,55.96,0.99,Post_Graduate,1
54.69,4.48,51.16,63.23,54.28,57.23,1.0,7.58,7.7,1,3,1,53.07,82.24,Average,5.14,58.48,67.66,2.24,Post_Graduate,1
79.85,8.56,86.83,75.15,80.53,85.52,0.0,8.1,7.9,1,2,1,74.76,91.1,Good,5.32,81.81,82.93,8.56,Graduate,2
64.77,6.23,54.13,49.94,62.03,43.66,0.0,6.55,6.2,1,2,1,51.73,69.58,Average,7.71,53.71,60.66,6.23,Graduate,1
74.95,4.11,51.96,60.15,58.27,48.58,3.0,5.85,9.6,1,1,1,50.14,58.38,Average,5.4,55.25,54.26,1.03,High_School,1
91.76,10.98,94.74,92.46,98.85,84.0,0.0,8.86,8.4,1,2,1,93.52,98.73,Excellent,6.26,92.23,96.12,10.98,Graduate,3
47.49,2.6,43.59,44.64,22.16,54.05,1.0,4.8,4.0,1,2,1,22.02,50.19,Poor,13.48,42.1,36.1,1.3,Graduate,0
95.87,12.0,89.54,94.7,86.16,94.79,0.0,8.9,6.5,1,0,1,90.74,94.9,Excellent,4.21,91.15,92.82,12.0,None,3
60.32,4.44,50.21,72.37,53.17,52.64,2.0,6.75,8.6,1,3,1,69.48,77.77,Average,10.26,58.56,73.62,1.48,Post_Graduate,1
37.35,3.54,41.61,41.39,46.67,33.96,5.0,4.17,6.7,1,3,0,27.61,47.47,Poor,5.23,41.05,37.54,0.59,Post_Graduate,0
74.02,6.43,60.15,57.32,61.26,60.47,1.0,4.99,6.3,1,2,1,55.65,76.31,Average,1.72,58.7,65.98,3.21,Graduate,1
47.63,2.14,38.37,31.6,25.96,33.44,4.0,5.37,6.1,1,3,1,36.43,50.53,Poor,5.13,34.74,43.48,0.43,Post_Graduate,0
72.09,6.26,84.84,75.47,63.46,66.7,0.0,8.6,6.4,1,3,1,58.25,85.68,Good,9.6,74.71,71.96,6.26,Post_Graduate,2
90.04,7.93,62.76,79.73,86.34,75.93,1.0,8.15,4.0,1,2,0,82.6,88.33,Good,9.93,76.23,85.46,3.96,Graduate,2
65.53,3.45,45.26,45.37,56.24,59.56,3.0,6.48,8.6,1,4,1,60.92,72.18,Average,7.39,52.3,66.55,0.86,Doctorate,1
49.82,3.91,46.46,46.06,51.99,50.62,1.0,5.49,6.7,1,3,1,59.15,68.45,Average,2.97,49.14,63.8,1.96,Post_Graduate,1
78.62,5.24,83.99,75.9,79.56,87.7,2.0,8.32,9.5,1,2,1,73.63,88.08,Good,5.15,81.74,80.85,1.75,Graduate,2
39.89,3.81,48.25,42.41,38.67,29.49,7.5,5.71,6.6,1,3,0,35.07,57.96,Poor,7.87,42.01,46.52,0.45,Post_Graduate,0
72.45,6.3,46.03,52.42,64.3,62.42,4.0,5.49,9.5,1,0,1,47.74,53.7,Average,8.6,55.45,50.72,1.26,None,1
75.66,6.62,66.53,73.31,66.26,84.81,0.0,6.75,4.8,1,2,1,76.25,72.25,Good,8.69,71.92,74.25,6.62,Graduate,2
77.63,5.25,54.57,52.23,59.94,48.99,1.0,5.56,9.7,1,0,1,51.62,74.85,Average,4.61,54.05,63.24,2.62,None,1
82.7,5.74,83.0,64.11,74.95,74.69,0.0,7.54,8.3,1,2,1,65.89,77.26,Good,7.75,74.25,71.58,5.74,Graduate,2
64.24,5.21,79.24,50.05,51.04,51.96,1.0,6.27,6.6,1,1,1,68.55,73.71,Average,14.13,59.19,71.13,2.6,High_School,1
71.09,4.23,59.71,67.68,65.62,60.81,2.0,5.83,8.0,1,1,0,44.42,75.77,Average,3.81,62.96,60.1,1.41,High_School,1
40.84,1.45,35.61,45.76,22.42,31.94,3.0,6.1,4.1,1,2,1,47.36,44.69,Poor,9.65,37.31,46.02,0.36,Graduate,0
37.54,2.45,36.84,34.69,34.24,29.99,2.0,4.97,7.9,1,2,0,51.34,62.08,Poor,2.87,35.7,56.71,0.82,Graduate,0
89.7,8.66,81.95,99.2,90.57,98.32,0.0,9.03,9.9,1,2,1,96.53,99.19,Excellent,8.04,92.1,97.86,8.66,Graduate,3
81.8,6.55,79.53,71.48,64.77,67.25,0.0,6.99,6.8,1,2,1,75.14,97.12,Good,6.47,71.15,86.13,6.55,Graduate,2
70.53,5.22,70.57,54.32,56.56,47.59,4.0,7.06,6.6,1,1,0,40.06,67.39,Average,9.66,59.11,53.72,1.04,High_School,1
44.56,2.7,31.84,48.37,28.28,33.65,5.0,6.88,7.3,1,3,0,35.78,66.43,Poor,8.84,39.32,51.1,0.45,Post_Graduate,0
81.61,7.69,71.22,90.11,75.64,76.29,1.0,7.55,6.0,1,2,1,72.32,86.83,Good,8.18,78.27,79.57,3.85,Graduate,2
82.25,9.0,87.42,62.84,69.79,85.67,1.0,7.56,6.2,1,2,0,70.3,77.22,Good,12.04,76.22,73.76,4.5,Graduate,2
86.97,6.63,84.29,83.07,71.5,84.36,0.0,8.29,7.6,1,1,0,71.31,85.96,Good,6.23,81.3,78.63,6.63,High_School,2
41.49,2.14,41.22,43.22,40.42,39.62,7.5,4.72,7.1,1,2,1,28.17,67.82,Poor,1.54,41.84,48.0,0.25,Graduate,0
64.36,3.85,56.34,60.54,72.97,71.07,1.0,6.21,6.2,1,2,1,57.02,67.61,Average,8.06,64.24,62.32,1.93,Graduate,1
34.93,1.07,24.21,32.74,46.13,35.69,6.0,3.22,4.9,1,2,1,41.16,66.45,Poor,9.05,33.82,53.8,0.15,Graduate,0
48.64,0.5,40.34,38.78,55.62,44.5,4.0,3.51,5.8,1,2,1,40.33,56.44,Poor,7.6,43.31,48.38,0.1,Graduate,0
52.52,6.27,64.86,68.04,66.41,74.48,0.0,5.5,7.8,1,2,1,66.85,60.41,Average,4.23,66.9,63.63,6.27,Graduate,1
64.6,1.67,59.42,64.92,56.18,71.42,2.0,6.2,7.9,1,0,0,76.78,59.2,Average,6.68,62.8,67.99,0.56,None,1
61.74,4.31,59.82,55.62,65.07,54.9,2.0,7.13,5.6,1,2,1,38.9,57.54,Average,4.68,59.98,48.22,1.44,Graduate,1
77.53,3.95,52.28,63.5,56.51,51.27,2.0,6.18,7.1,1,3,1,51.93,77.14,Average,5.56,56.68,64.54,1.32,Post_Graduate,1
46.91,1.82,47.24,39.79,36.88,43.13,6.0,3.43,7.0,1,3,1,33.09,53.49,Poor,4.46,41.19,43.29,0.26,Post_Graduate,0
96.95,6.02,99.33,88.81,97.43,96.21,0.0,8.95,6.5,1,2,0,86.99,87.86,Excellent,4.61,94.71,87.42,6.02,Graduate,3
49.68,1.94,46.88,28.28,34.06,38.07,5.0,4.62,7.5,1,3,0,39.83,68.5,Poor,7.82,37.84,54.16,0.32,Post_Graduate,0
57.43,3.83,54.46,63.09,61.61,58.79,2.0,6.02,7.1,1,3,1,38.8,73.76,Average,3.8,59.49,56.28,1.28,Post_Graduate,1
100.0,9.36,91.33,96.82,93.55,94.97,0.0,9.32,5.7,1,1,1,92.83,99.25,Excellent,2.32,94.06,96.04,9.36,High_School,3
100.0,10.96,91.43,82.4,87.11,100.0,0.0,9.26,9.3,1,2,1,95.32,93.63,Excellent,7.48,90.14,94.48,10.96,Graduate,3
94.19,10.59,68.65,76.44,70.01,76.39,0.0,7.86,9.5,1,2,1,79.64,78.73,Good,4.13,73.41,79.18,10.59,Graduate,2
96.02,9.83,94.09,93.94,91.29,88.63,0.0,9.59,6.0,1,3,1,90.28,92.58,Excellent,2.58,92.58,91.43,9.83,Post_Graduate,3
79.92,7.39,69.96,74.94,87.33,83.76,2.0,8.25,8.0,1,2,1,87.74,85.42,Good,7.96,78.69,86.58,2.46,Graduate,2
80.02,6.28,83.64,81.07,84.84,77.68,1.0,7.52,4.0,1,3,0,74.53,89.03,Good,3.17,81.2,81.78,3.14,Post_Graduate,2
81.28,6.25,64.48,78.15,85.33,74.92,0.0,7.63,6.5,1,0,0,87.0,97.81,Good,8.66,75.34,92.4,6.25,None,2
93.77,7.44,85.25,69.1,86.53,83.83,1.0,5.68,5.5,1,2,0,70.51,81.62,Good,8.13,78.34,76.06,3.72,Graduate,2
55.73,1.26,33.32,32.85,43.96,34.23,6.0,3.91,5.9,1,2,1,27.22,53.9,Poor,5.28,36.09,40.56,0.18,Graduate,0
90.26,6.31,67.74,69.66,76.05,76.76,0.0,8.19,7.4,1,3,1,74.18,82.81,Good,4.53,73.1,78.5,6.31,Post_Graduate,2
77.45,9.32,76.96,65.81,91.48,92.41,3.0,7.56,7.0,1,3,0,71.75,94.47,Good,12.72,80.03,83.11,2.33,Post_Graduate,2
70.31,3.14,55.39,49.86,53.42,47.7,3.0,5.85,8.3,1,3,1,64.43,82.99,Average,3.46,52.39,73.71,0.79,Post_Graduate,1
87.61,9.57,89.41,86.95,96.98,97.22,0.0,10.0,6.2,1,4,0,90.15,90.86,Excellent,5.25,92.93,90.5,9.57,Doctorate,3
100.0,9.33,98.53,93.23,95.87,97.01,1.0,9.67,7.7,1,3,1,90.79,98.13,Excellent,2.24,96.19,94.46,4.67,Post_Graduate,3
73.76,4.62,48.54,55.24,60.35,43.31,5.0,6.16,9.5,1,1,0,53.53,66.32,Average,7.48,52.84,59.92,0.77,High_School,1
52.87,0.5,47.54,21.06,37.79,25.36,6.0,4.73,7.0,1,1,1,33.02,54.07,Poor,12.05,34.51,43.54,0.07,High_School,0
89.67,9.22,85.38,90.03,86.97,93.31,0.0,9.48,7.4,1,0,1,87.88,94.2,Excellent,3.5,89.39,91.04,9.22,None,3
95.01,7.43,96.54,92.67,100.0,99.03,0.0,9.64,6.6,1,1,1,90.08,100.0,Excellent,3.27,96.75,95.04,7.43,High_School,3
55.32,2.91,67.38,50.43,53.43,62.3,0.0,5.76,7.0,1,3,0,44.22,67.65,Average,7.83,58.36,55.94,2.91,Post_Graduate,1
59.18,1.65,50.94,60.88,62.72,55.65,1.0,6.54,5.3,1,3,1,61.7,82.81,Average,5.33,58.17,72.26,0.82,Post_Graduate,1
30.0,2.2,57.85,36.17,38.2,41.36,6.0,5.41,4.0,1,2,0,22.9,57.68,Poor,9.87,44.83,40.29,0.31,Graduate,0
59.37,7.69,36.81,56.56,73.81,58.97,3.0,6.41,6.3,1,2,0,48.8,66.1,Average,15.2,56.31,57.45,1.92,Graduate,1
54.89,3.48,41.43,28.08,41.91,53.28,5.0,5.53,7.9,1,2,1,34.21,56.01,Poor,10.31,41.95,45.11,0.58,Graduate,0
88.83,8.42,77.12,73.42,75.3,68.97,0.0,6.32,6.2,1,1,1,72.32,85.77,Good,3.5,72.81,79.04,8.42,High_School,2
69.86,6.52,67.47,61.76,60.09,50.15,3.0,6.52,5.3,1,3,1,70.34,60.3,Average,7.21,60.88,65.32,1.63,Post_Graduate,1
77.48,9.29,75.52,72.82,87.75,69.96,1.0,7.24,7.2,1,4,1,68.73,78.0,Good,7.83,75.87,73.37,4.64,Doctorate,2
60.63,2.66,68.41,53.33,51.31,58.24,2.0,6.22,5.9,1,0,1,36.14,62.79,Average,7.63,58.57,49.46,0.89,None,1
99.95,11.0,92.36,99.32,97.31,88.39,0.0,9.44,8.2,1,3,0,91.33,97.69,Excellent,4.93,94.5,94.51,11.0,Post_Graduate,3
90.22,9.85,99.73,89.2,86.14,87.24,0.0,8.71,7.5,1,1,0,90.68,93.44,Excellent,6.23,90.62,92.06,9.85,High_School,3
77.37,7.43,78.15,50.68,73.35,73.76,0.0,8.52,8.3,1,1,0,79.69,100.0,Good,12.4,70.15,89.84,7.43,High_School,2
89.98,8.9,100.0,96.72,99.51,94.96,0.0,8.82,5.5,1,2,1,88.06,98.85,Excellent,2.38,96.89,93.46,8.9,Graduate,3
88.51,9.46,99.68,83.36,83.66,92.95,0.0,9.36,6.4,1,2,1,98.99,88.94,Excellent,7.89,90.44,93.96,9.46,Graduate,3
46.99,2.48,51.17,36.33,52.16,21.91,7.5,3.11,7.4,1,1,0,29.54,46.85,Poor,14.29,39.8,38.2,0.29,High_School,0
78.5,2.1,71.59,70.37,82.73,70.86,1.0,8.45,7.8,1,1,0,81.32,82.5,Good,5.92,74.66,81.91,1.05,High_School,2
61.88,6.98,64.63,64.47,72.86,65.22,0.0,7.08,8.3,1,3,1,43.73,76.06,Average,4.06,66.97,59.9,6.98,Post_Graduate,1
45.94,2.55,42.34,31.18,34.16,44.63,6.0,4.55,8.0,1,1,1,37.67,67.89,Poor,6.43,38.69,52.78,0.36,High_School,0
39.36,1.49,53.4,36.08,57.61,22.5,7.5,4.76,7.0,1,2,1,23.15,54.74,Poor,16.21,43.15,38.94,0.18,Graduate,0
65.18,5.42,64.68,56.88,54.95,62.8,0.0,6.76,8.2,1,4,1,70.07,77.95,Average,4.65,60.7,74.01,5.42,Doctorate,1
53.98,1.28,42.93,40.0,32.35,57.54,6.0,4.65,7.3,1,2,1,46.67,69.81,Poor,10.55,43.36,58.24,0.18,Graduate,0
77.97,8.17,82.21,80.72,86.28,69.37,0.0,8.52,4.4,1,2,1,72.93,94.46,Good,7.24,80.38,83.7,8.17,Graduate,2
64.35,3.54,58.54,67.02,60.91,51.65,1.0,6.31,6.5,1,1,0,64.55,61.78,Average,6.35,60.21,63.16,1.77,High_School,1
49.72,4.68,62.62,47.41,71.36,51.42,2.0,6.71,6.4,1,3,0,53.58,73.74,Average,10.88,58.77,63.66,1.56,Post_Graduate,1
71.89,3.02,66.81,65.45,62.34,53.7,2.0,6.2,5.3,1,2,1,53.23,74.03,Average,5.89,62.47,63.63,1.01,Graduate,1
39.5,4.19,29.05,35.0,42.24,46.89,7.5,4.23,6.5,1,3,1,32.39,73.52,Poor,7.87,38.07,52.96,0.49,Post_Graduate,0
37.39,2.97,36.01,29.54,40.7,24.94,5.0,5.77,8.8,1,2,1,28.66,63.61,Poor,6.96,35.29,46.14,0.5,Graduate,0
86.42,3.15,81.59,55.17,55.26,60.62,1.0,5.19,6.9,1,2,0,53.09,82.78,Average,12.55,62.56,67.94,1.57,Graduate,1
68.71,8.83,63.24,80.91,77.55,85.75,0.0,8.68,6.3,1,2,0,74.16,76.62,Good,9.69,77.38,75.39,8.83,Graduate,2
59.31,8.11,69.04,63.49,63.57,60.4,3.0,5.95,6.2,1,4,0,53.08,66.51,Average,3.59,63.88,59.8,2.03,Doctorate,1
57.99,5.2,69.48,67.37,49.95,68.31,3.0,6.5,9.0,1,0,1,43.12,77.37,Average,9.26,64.36,60.24,1.3,None,1
86.37,7.37,81.33,59.03,60.1,68.25,1.0,6.96,6.3,1,1,1,69.02,86.62,Good,10.29,67.72,77.82,3.69,High_School,2
56.47,2.81,50.31,39.07,28.68,46.82,4.0,4.8,8.1,1,0,1,37.59,73.28,Poor,9.59,42.24,55.44,0.56,None,0
42.46,3.64,36.26,44.88,35.53,35.32,7.0,4.81,8.1,1,2,0,37.57,49.6,Poor,4.61,39.26,43.58,0.46,Graduate,0
59.32,3.4,51.69,57.86,53.61,59.77,1.0,6.62,7.3,1,2,1,52.64,69.6,Average,3.73,56.68,61.12,1.7,Graduate,1
60.61,2.91,36.84,56.68,42.62,32.32,3.0,4.61,7.9,1,2,1,40.72,67.72,Poor,10.59,42.98,54.22,0.73,Graduate,0
70.63,4.13,52.59,50.42,48.47,54.47,3.0,5.84,6.7,1,2,0,73.72,78.54,Average,2.6,52.18,76.13,1.03,Graduate,1
78.31,9.79,86.79,92.8,85.87,92.91,0.0,10.0,8.7,1,2,0,86.98,99.66,Excellent,3.79,90.65,93.32,9.79,Graduate,3
79.41,10.88,75.08,75.22,68.91,83.12,0.0,7.57,7.5,1,1,0,77.59,87.24,Good,5.82,75.55,82.42,10.88,High_School,2
87.53,10.13,87.1,86.61,91.88,90.05,1.0,9.29,5.5,1,3,1,91.06,96.73,Excellent,2.5,89.1,93.9,5.07,Post_Graduate,3
96.17,7.12,93.85,89.41,100.0,94.5,1.0,9.3,6.4,1,3,1,83.91,99.45,Excellent,4.34,94.02,91.68,3.56,Post_Graduate,3
75.12,9.21,72.8,81.94,68.79,78.15,1.0,8.06,8.3,1,2,1,71.35,78.65,Good,5.8,76.13,75.0,4.61,Graduate,2
63.75,4.24,67.65,58.03,61.99,53.44,4.0,4.33,4.2,1,2,1,49.57,68.66,Average,6.03,58.84,59.11,0.85,Graduate,1
82.09,3.94,55.41,66.5,44.58,46.15,3.0,6.11,5.8,1,2,0,47.5,74.42,Average,10.1,54.73,60.96,0.98,Graduate,1
99.7,8.23,94.59,92.43,92.33,96.93,0.0,9.15,7.4,1,4,0,93.37,97.87,Excellent,2.17,93.76,95.62,8.23,Doctorate,3
95.41,12.0,84.85,91.89,89.46,95.52,0.0,9.0,4.6,1,3,1,85.09,95.8,Excellent,4.48,90.18,90.44,12.0,Post_Graduate,3
65.61,3.66,62.74,53.65,55.96,45.84,2.0,5.36,7.4,1,2,1,56.63,76.94,Average,6.97,54.82,66.78,1.22,Graduate,1
33.35,4.99,56.47,44.78,33.97,38.09,7.5,5.68,4.5,1,2,1,31.51,67.61,Poor,9.83,45.4,49.56,0.59,Graduate,0
37.57,4.95,58.99,59.12,60.43,47.39,4.0,6.0,7.9,1,0,1,52.92,89.28,Average,6.1,57.09,71.1,0.99,None,1
81.15,4.62,28.31,67.89,55.68,51.59,1.0,6.74,7.5,1,3,0,42.52,63.88,Average,16.56,52.24,53.2,2.31,Post_Graduate,1
49.9,1.86,46.83,46.13,38.77,32.7,6.0,5.49,10.0,1,2,0,31.16,54.04,Poor,6.69,43.02,42.6,0.27,Graduate,0
38.57,4.58,69.43,49.62,64.68,61.44,3.0,6.03,6.6,1,0,1,71.08,59.41,Average,8.45,61.02,65.24,1.15,None,1
100.0,8.51,73.63,69.11,65.84,69.32,1.0,8.54,7.4,1,2,0,76.6,83.74,Good,3.2,71.26,80.17,4.25,Graduate,2
63.35,3.53,48.71,52.01,68.29,63.99,1.0,6.39,5.8,1,1,0,59.7,63.44,Average,9.38,58.03,61.57,1.76,High_School,1
88.38,10.57,100.0,96.41,89.68,98.18,1.0,9.65,8.4,1,2,0,77.78,91.98,Excellent,4.5,96.32,84.88,5.29,Graduate,3
100.0,8.83,100.0,91.92,100.0,94.04,0.0,10.0,8.5,1,3,1,94.39,95.25,Excellent,4.14,96.79,94.82,8.83,Post_Graduate,3
94.64,9.11,83.3,88.58,94.65,88.22,0.0,9.37,8.2,1,2,1,88.25,99.46,Excellent,4.65,88.91,93.85,9.11,Graduate,3
44.21,2.74,40.7,29.49,51.55,24.04,5.0,5.38,6.8,1,2,1,38.69,63.47,Poor,12.23,38.05,51.08,0.46,Graduate,0
55.74,2.47,60.19,56.63,60.7,57.87,3.0,5.95,8.9,1,1,1,57.53,77.17,Average,1.92,58.87,67.35,0.62,High_School,1
83.06,10.25,70.98,77.98,69.27,75.67,0.0,8.21,6.3,1,3,1,76.8,76.73,Good,4.04,74.44,76.76,10.25,Post_Graduate,2
48.36,3.09,37.78,42.3,30.68,26.19,5.0,5.41,7.7,1,1,1,22.94,65.44,Poor,7.19,36.8,44.19,0.52,High_School,0
60.54,2.37,37.79,28.97,43.17,38.06,7.5,5.1,7.5,1,2,1,36.46,60.13,Poor,5.9,38.04,48.3,0.28,Graduate,0
100.0,6.45,100.0,83.97,90.86,92.3,1.0,8.72,7.4,1,1,0,93.8,93.69,Excellent,6.57,91.34,93.74,3.23,High_School,3
51.08,2.32,32.89,42.52,38.37,24.44,6.0,4.24,7.2,1,1,1,40.93,55.19,Poor,7.81,35.65,48.06,0.33,High_School,0
61.59,1.83,33.34,35.25,30.17,37.33,6.0,3.35,6.1,1,1,1,38.63,50.41,Poor,3.04,34.0,44.52,0.26,High_School,0
47.92,0.5,45.2,44.41,27.03,28.28,7.0,5.27,6.9,1,1,1,29.54,45.17,Poor,9.92,38.73,37.36,0.06,High_School,0
94.76,7.67,100.0,85.76,92.39,92.34,0.0,9.82,7.6,1,1,1,100.0,92.12,Excellent,5.82,93.21,96.06,7.67,High_School,3
73.63,3.04,58.09,53.56,52.1,63.93,3.0,8.25,6.6,1,1,0,51.39,87.66,Average,5.32,59.37,69.53,0.76,High_School,1
53.73,2.66,49.32,39.04,48.27,46.69,2.0,4.01,8.7,1,1,0,45.31,52.43,Poor,4.65,45.09,48.87,0.89,High_School,0
73.01,4.9,85.07,71.58,77.11,71.38,1.0,7.57,6.1,1,2,1,71.46,94.95,Good,6.43,76.43,83.2,2.45,Graduate,2
52.61,3.7,45.16,44.17,37.43,28.1,3.0,4.8,8.8,1,1,0,50.41,58.15,Poor,7.87,40.24,54.28,0.93,High_School,0
94.23,7.46,92.88,94.85,95.53,96.44,0.0,9.2,8.1,1,3,1,98.32,94.4,Excellent,1.51,94.53,96.36,7.46,Post_Graduate,3
47.51,1.33,54.05,27.52,34.66,46.14,7.0,4.06,9.5,1,0,1,35.11,58.79,Poor,11.8,40.61,46.95,0.17,None,0
50.55,5.44,56.87,62.45,74.91,40.87,0.0,6.11,5.9,1,2,1,59.99,70.94,Average,14.12,59.1,65.46,5.44,Graduate,1
